client,asana_gid,hours,title
Studio,1168065776544141,11.25,Nexar case study- 11.25h
Studio,1194858579736097,30.50,Studio website Improvements - 30.5h
Studio,1202010681385693,3.25,Donsplus - Micro Icons - static post - 3.25h
Studio,1202010681385697,17.25,Donsplus - dashboard - static post - 17.25h
Studio,1202010681385699,4.00,Ception - “Any” Illustrations - static posts - 4h
Studio,1202010681385701,2.50,Autofleet - EV 3D Visuals - static post - 2.5h
Studio,1202125244853423,17.50,Anchor - Mini Social Campaign - 17.5h
Studio,1202357272428590,2.00,Arison - posts -2h
Studio,1202368829635312,6.00,Shavuot post - 6h
Studio,1202410672909814,25.00,Pride - 25h
Studio,1202449226530802,0.25,Anchor - Header Wireframe - Animation post - 0.25
Studio,1202469604378605,3.00,Nominal logo sketch - static post 3h
Studio,1202481623758669,1.00,Astrix Tiktok guide - 1h
Studio,1202693904912419,11.25,Donsplus - New website - static post 11.25h
Studio,1202980630170304,5.00,Studio - Royal blue event - 5h
Studio,1203409837269093,4.00,Holidays - 4h
Nextage,1200712090902121,1.00,Studio's QA & Final corrections (16h) - 1h
Nextage,1202573794762155,0.50,Logo editing for global and cerca pages - 0.5h
OFFF tlv,237010907991795,21.00,מצגת באנגלית - 21
OFFF tlv,241990369744337,273.00,branding 273 hrs
OFFF tlv,311161800905313,1.00,multi-gif for barcelona- 1hr
OFFF tlv,321983087881993,12.50,interview video-12.5
OFFF tlv,337717630641470,58.00,site -58 hrs
OFFF tlv,341321315276332,3.00,tizer- 3
OFFF tlv,367013071598677,8.00,branding v2 - 8hrs
OFFF tlv,402805716389406,2.00,mail pdf - 2 hrs
OFFF tlv,403467398823412,14.50,rebranded site - 14.5
OFFF tlv,403767325057131,85.00,Animated Bumper 85 HRS
OFFF tlv,411102950214737,1.00,folder organize -1 h
OFFF tlv,369697468065208,10.00,טיזר תלת 10 Hrs
Barbahar,1156973988126337,1.00,Wanted GIF - 1h 
Barbahar,1156977634932131,6.50,Print Products - 6.5h
OFFF tlv,1158472638794025,6.00,OFFF webeite 2020 - 6 hrs
Studio,666818016380211,5.50,logo anim- 5.5h
Arison,1200309560894617,15.50,Hero video (40h-50h) - 15.5h
OFFF tlv,1139178959412881,6.75,OFFFter party - 6.75h
Ception,1115650075303467,42.50,Logo - 42.5h
Ception,1120284658930259,7.25,Stickers - 7.25h
Ception,1120284658930260,3.50,B. card - 3.5h
Ception,1120284658930261,95.00,Web design - 95 h - FINAL
Ception,1121208836276629,2.50,Notebook - 2.5h
Ception,1121208836276632,1.50,color test - 1.5h
Ception,1135577905361870,6.00,Booth Design (8h from client) - 6h
Ception,1136681391553514,7.00,New page for Website (6h from client) - 7 h 
Ception,1137017391949380,4.50,Roll up design - 4.5
Ception,1140401865811761,22.00,Motion Design (~24) - 22h
Ception,1140401865811763,8.00,Narration (8h) -  8h
Ception,1140401865811764,12.00,Animation (~8h) - 12h
Ception,1147415204614312,2.00,Clip Edits -2h
Ception,1150252425390481,1.00,Website Add ons - 1h 
Ception,1152956121391453,5.50,CES Banner (2-3) - 5.5h 
Ception,1152956121391455,3.75,CES Booth design (8) - 3.75h
Ception,1152956121391457,17.75,One Pager (18) - 17.75h
Ception,1153193682849047,1.50,Website addons - 1.5h 
Ception,1156745534860689,2.00,Move Booth Design - 2 h
Ception,1158880935137131,2.00,Social posts for MOVE - 2h
Ception,1178404897795505,15.50,Mining truck image making - 15.5h
Ception,1182335768480157,5.00,Website extras (4) - 5h
Ception,1198503235636688,9.75,Hiring Post (4-5) - 9.75h
Ception,1199549492103967,15.50,3d header update (16) - 15.5h
Ception,1199637646820786,0.50,Update picture in One pager - 0.5h
Ception,1200183864737990,13.00,2 3D Visuals for Website (16) - 13
Ception,1200193616834281,14.50,Website updates (8+8) - 14.5h
Ception,1200193616834283,13.00,Website - MineCept Section (8) -13h
Ception,1200193616834285,7.00,3 Visuals for Article (8) - 7h
Ception,1200560785135275,7.25,career page (6-8h) - 7.25hrs
Ception,1200345566675252,0.50,change in visual (1) - 0.5h
Ception,1199333431399745,3.25,Imarc 3 Ads - (2-3) - 3.25h
Ception,1199628002248359,7.75,One Pager update (20-24) - 7.75h
Ception,1199628002248374,4.00,Presentation slide design (4) - 4h
Ception,1199679668404933,0.75,Festive card -  0.75h
Ception,1164291153387691,10.50,One pager for mines (5-7) - 10.5h
Ception,1181531406011873,24.75,Mining Way Situation - Image Making (10+12+2) - 24.75h
Ception,1186151771710277,36.50,Mining Webpage (30+6) - 36.5h
Ception,1201160957386802,37.50,Office Design -37.5h
Ception,1201186496040377,1.50,3D office sign - 1.5h
Ception,1201514468305392,2.00,Desktop Wallpapers - 2h
Ception,1201544421242732,2.00,Holidays Post (2) - 2hrs
Ception,1201938380747418,8.00,Website Homepage Updates - 8h
Ception,1201958460491489,0.50,One pager small change - 0.5h
Ception,1202153690906999,105.75,Animation (64h) - 105.75
Ception,1202254091667139,5.75,Storyboard (6h) - 5.75h
Ception,1202985092216871,5.25,Rosh Hashana Banner (3h) - 5.25h
Ception,1202985092216874,0.50,Linkedin Banner (3h) - 0.5h
Ception,1202985655891383,1.00,Caption - Video - 1h
Ception,1203092215202905,9.75,Bauma Booth (10h) - 9.75h
Ception,1200833792407057,14.00,One pager (10-12) -14h
Ception,1200833792407061,11.75,Booth (5) - 11.75h
Ception,1200624914514682,11.75,New Visual (8-10h) - 11.75h
Ception,1200875550292453,2.50,One pager web (2-3) -2.5h
Ception,1200684613971266,2.50,Office design - 2.5hrs
Ception,1200878730626139,3.00,Happy New Year (2) - 3h
Ception,1202121867015058,1.00,Image update careers page - 1h
Ception,1202153690906997,92.00,Explanatory Video design (82h+2h) - 92h
Ception,1202667180014883,8.00,Manuals word docs (6-8h) - 8h
Blazepod,1137017391949389,83.25,App Design (230h from client) - 83.25h (15/10/19)
Blazepod,1137017391949391,4.50,meetings - 4.5h
Blazepod,1145969711701204,27.50,Research (25) - 27.5h
Blazepod,1145969711701206,19.00,UX Concept (25) - 19h
Blazepod,1145969711701208,90.75,UX (44) - 90.75h
Blazepod,1145969711701212,74.25,App screens (90) - 74.25h 
Blazepod,1145969711701214,2.00,Dev (16) - 2
Blazepod,1150172328734230,12.75,Get to know flow - 12.75h
Blazepod,1150172328734232,16.00,General Requests - 16
Blazepod,1150343029008509,18.00,User Testing - 18h
Blazepod,1150972489604601,1.75,Visual research + competitors (3) - 1.75h
Blazepod,1150972489604603,6.75,Define visual approaches (5) - 6.75h
Blazepod,1150972489604605,18.25,Visual concepts (12) - 18.25h
Blazepod,1150972489604607,17.50,Refine chosen concept (10) - 17.5h
Blazepod,1152142037456660,14.00,"Zeplin, Export, Dev - 14"
Blazepod,1155703807987319,3.75,Icons -3.75h
Blazepod,1155703807987321,2.00,Engines Illustrations (7) - 2h
Blazepod,1155703807987327,3.50,Sign up (5) - 3.5
Blazepod,1155963564614650,29.25,Box Design (28h)  - 29.25h 
Blazepod,1157387712690337,8.00,Logo finishes - 8h
Blazepod,1158035415226577,3.25,Create flow (3) - 3.25
Blazepod,1158035415226579,4.00,Monitor game (2) - 4
Blazepod,1158209074525093,1.25,Shterny - 1.25
Blazepod,1159948192005010,0.50,log in (0.5) - 0.5
Blazepod,1159948192005012,8.00,fix general comments from last call + finishing touchs (2) - 8
Blazepod,1159948192005014,1.50,Shterny's copy + applying new font (2) - 1.5
Blazepod,1159948192005016,2.00,pod settings - tool tips (2) - 2
Blazepod,1159948192005018,6.50,predefined - setting per engine open+closed (4) - 6.5
Blazepod,1159948192005020,6.00,create screen - settings per engine (4) - 6
Blazepod,1159948192005022,5.75,explore - new flow (6) - 5.75
Blazepod,1159948192005024,5.50,countdown + monitor game - per engines (4) - 5.5
Blazepod,1159948192005026,6.25,score screen per engines (3) - 6.25
Blazepod,1159948192005028,4.75,"zeplin, export, dev (10) - 4.75"
Blazepod,1159948192005030,24.75,style guide (12) - 24.75
Blazepod,1163685614527133,2.00,History score screen per engines (3) - 2
Blazepod,1163685614527137,5.00,Analytics main screen flow - 5
Blazepod,1163685614527139,2.00,Player History screen (2) - 2
Blazepod,1163685614527141,4.50,Illustrating c4 pod (4) - 4.5
Blazepod,1163685614527143,8.50,Illustrating engines (8) - 8.5
Blazepod,1172184944178857,11.00,Dev - 11h
Blazepod,1172184944178859,7.75,App screens - 7.75
Blazepod,1172184944178863,2.00,4D & Animation - 2h
Blazepod,1172947537879793,2.00,Illustrating engines - 2h
Blazepod,1174144278754579,1.75,dev - 1.75
Blazepod,1174144278754583,53.50,new screens - 53.5h
Blazepod,1177184866957467,2.75,Illustrating engines - 2.75h
Blazepod,1179680125654421,6.00,new screens - 6h
Blazepod,1179680125654423,0.50,Illustrating engines - 0.5h 
Blazepod,1180245454342725,38.00,June Tasks Doc (34-40) - 38h
Blazepod,1180537194188997,2.50,exports - 2.5h
Blazepod,1182288408851177,28.75,Onboarding animations + Tips carousel (8-10) - 28.75h
Blazepod,1182288408851179,6.00,Application tips (4) - 6h
Blazepod,1182288408851181,18.25,Exercise styleguide (9+8) - 18.25h
Blazepod,1182288408851183,26.25,App store/google store Pictures (10-16) - 26.25h
Blazepod,1184662490485059,13.50,General Requests - 13.5h
Blazepod,1187130829863561,34.50,General Requests  - 34.5
Blazepod,1192157884113383,13.00,App store/google store pictures - 13h
Blazepod,1195325930844759,6.25,Academy clips (40) - 6.25h
Blazepod,1197185850717534,5.50,App store/google store pictures videos - 5.5h
Blazepod,1197185850717536,23.50,General - 23.5h
Blazepod,1197251802735126,40.75,Academy Clips (34+4 sound) - 40.75h
Blazepod,1198183424191001,30.00,IPAD Adaptations (140-180) - 30h - FINAL
Blazepod,1198999579757789,38.25,General tasks - 38.25h
Blazepod,1199333813637334,5.50,App landing page - 5.5h
Blazepod,1199403545659382,59.00,General tasks - 59h
Blazepod,1199515481413614,64.50,Package & manual (40) - 64.5h
Blazepod,1199712424585205,81.75,General tasks - 81.75h
Blazepod,1199881350709775,82.25,General tasks - 82.25h
Blazepod,1199995637202995,59.25,General tasks - 59.25h
Blazepod,1200142630245777,72.25,General tasks - 72.25h
Blazepod,1200222098156647,9.50,Manuals - 9.5h
Blazepod,1200275723563449,14.75,BlazePod Academy video - tests feature (4h+2h sound) - 14.75h
Blazepod,1200280513005142,43.50,General tasks - 43.5h
Blazepod,1200416273407895,59.50,General tasks - 59.5h
Blazepod,1200546554819428,9.25,cutting images - 9.25h
Blazepod,1200548975596329,83.75,General tasks - 83.75h
Blazepod,1200569433020554,5.50,cutting images - 5.5h
Blazepod,1200618851147346,1.75,New Animation (1h)-1.75h
Blazepod,1200706604803175,55.00,General tasks - 55h
Blazepod,1200987917099442,14.50,General tasks - 14.5h
Blazepod,1201110513988692,26.75,General tasks - 26.75h
Blazepod,1201978815179867,5.75,Achievement design - 5.75h
Blazepod,1202011467799147,6.00,Pod vector design (6h) - 6
Blazepod,1202032148468666,3.50,Engine Lottie animation - 3.5h
Blazepod,1202317835004503,2.50,Collection - 2.5h
Blazepod,1202366699215383,3.50,Zeplin - 3.5
Blazepod,1202398559517528,7.00,Academy video - 7h
Blazepod,1202406684950852,1.50,App Icon - 1.5h
Blazepod,1202437381214370,2.50,Figma conversion (3h) - 2.5h
Blazepod,1202487597613689,4.50,Exporting assets for website animations - 4.5
Blazepod,1202732387216583,12.00,Random logic - Video pilot (12h) - 12h 
Fiverr,1165715687610496,22.00,SMB help clip - 22h 
Fiverr,1168793887250530,4.00,UX Wireframes (4) - 4h
Fiverr,1168793887250532,6.50,Visual research (4) - 6.5h
Fiverr,1168793887250538,6.25,Design Concepts (8) - 6.25h
Fiverr,1168793887250540,19.50,Full Design (24) - 19.5h
Fiverr,1171899387485396,11.75,And.co animations (11) - 11.75h
Fiverr,1200854485171817,5.25,Inbox - Filtered out (1.5) - 5.25h
Fiverr,1200854485171818,9.75,Manage orders (3) - 9.75h
Fiverr,1200854485171819,14.00,Become a seller (3/6) - 14h
Fiverr,1200854485171820,2.00,Manage requests (1) - 2h
Fiverr,1200854485171821,5.50,No search results (2) - 5.5h
Fiverr,1200854485171822,3.75,My gigs (1) - 3.75h
Fiverr,1200854485171825,1.25,Favorite gig (1) - 1.25h
Fiverr,1200854485171827,0.50,Payment order (2) - 0.5h
Fiverr,1200854485171828,4.25,Congrats (2) - 4.25h
Fiverr,1200854485171829,2.50,Downtime (2) - 2.5h
Fiverr,1201035372953166,18.00,References & 1 General Design Draft (16) - 18h
Fiverr,1201035372953171,4.75,Choosing 5 elements for each category (8) - 4.75h
Fiverr,1201035372953173,87.50,3 Animations (64) - 87.5h
Fiverr,1201096427410921,1.25,Seller review(3) - 1.25h
Fiverr,1201096427410922,3.50,Congrats first purchase (1) - 3.5h
Fiverr,1201096427410923,1.75,Manage requests NEW - 1.75h
Fiverr,1201096427410924,4.00,no internet(2/3)  - 4h
Fiverr,1201096427410925,3.25,Something went wrong NEW - 3.25h
Fiverr,1201124989608099,3.75,Invite a friend - 3.75h
Fiverr,1201124989608100,0.75,My custom offer - 0.75h
Fiverr,1201124989608101,3.75,No results Magnifier - 3.75h
Fiverr,1201124989608102,4.00,No search results inbox - 4h
Fiverr,1201460694583097,49.25,Animation (48)- 49.25h
Fiverr,1201469598674137,5.75,Design (6) - 5.75h
Fiverr,1201892622138174,4.00,Fiverr - income sync animation (4h) - 4h
Fiverr,1202040619980288,20.00,Fiverr - logo maker animations  (25h) - 20h
Fiverr,1202181175201817,11.50,Fiverr - Animated illustrations (12h) - 11.5
Donsplus,1178218885968070,30.00,Widget Design (30) - 30h (14/06/2020) 
Donsplus,1179680125654437,6.00,Widget Animation (6) - 6h
Donsplus,1180746836548009,7.00,Stationery Design - 7h
Donsplus,1181728182121460,6.00,Widget Additions - 6h
Donsplus,1182545494018358,18.50,UX (24-28) - 18.5h
Donsplus,1182545494018362,70.25,UI (48-56) - 70.25h
Donsplus,1182545494018364,2.75,Mobile (20-24) - 2.75h
Donsplus,1182545494018368,6.75,Export for Dev & Styleguide (8-12) - 6.75h
Donsplus,1184628550383253,30.00,Website Copy (28) - 30h
Donsplus,1184628550383257,4.00,Website Wireframe (5)  - 4h
Donsplus,1188138994235242,62.75,Full Website Design (40) - 62.75h
Donsplus,1188138994235244,26.00,9+3 Animations - Design & Animation (24) - JUST STATIC for now - 26h
Donsplus,1188138994235246,46.00,Main Header Design & Animation (14) - 46h
Donsplus,1188138994235248,12.00,Solution Overview Animation (10) - 12h
Donsplus,1188138994235250,14.00,Mobile Website (8) - 14h
Donsplus,1188138994235252,5.00,Develop + Styleguide (5) - 5h
Donsplus,1188141353626618,0.50,Email Signature Update - 0.5h
Donsplus,1188593719196974,20.00,Webflow (20) - 20h
Donsplus,1189258478918061,18.00,2 Widget Features - 18
Donsplus,1189851539527921,1.00,Notebook Cover Design - 1h
Donsplus,1191014014398885,0.25,Sign in illustration export - 0.25h
Donsplus,1192667142756245,5.00,Brand Backgrounds & Patterns - 5h
Donsplus,1198182420330227,3.75,Processing fee covering - 3.75
Donsplus,1198182420330229,1.00,Processing fee covering Animation - 1h
Donsplus,1198201905868717,3.00,Social Cover Photos - 3h
Donsplus,1198216061170583,5.00,Website Additions - 5h
Donsplus,1198219105184641,1.75,Widget Additions - 1.75h
Donsplus,1198877517749357,0.50,B.card update - 0.5h
Donsplus,1199628002278354,26.50,Donsplus - Dashboard Updates (24) - 26.5h
Donsplus,1199674974645153,2.00,Donsplus Banners (2)- 2h
Donsplus,1199694838325109,2.00,Donsplus Support image (2) - 2h
Donsplus,1199728883605199,3.00,Dashboard Updates - 3h
Donsplus,1199892614310125,10.75,Dashboard updates (10) - 10.75h
Donsplus,1200031624285481,16.25,Recurring donations upsale (19) - 16.25h
Donsplus,1200096055766214,1.00,Multiple Assignments - 1h
Donsplus,1200122705506252,14.25,3 small tasks (18-20) - 14.25h
Donsplus,1200122705506254,2.50,Widget Description - 5-8/4 - 2.5
Donsplus,1200122705506255,0.25,Widget embedding - 0.25h 
Donsplus,1200122705506256,4.00,Charges Tab - Dashboard - 5-8/4 -4h
Donsplus,1200306156352528,5.25,Email verification illustration (8) - 5.25h
Donsplus,1200802700992283,80.00,Website updates (26) - 80h
Donsplus,1200816048626809,21.75,3 Feature Animations (15) - 21.75h
Donsplus,1201038766465064,11.75,Company Matching Feature (?) - 11.75
Donsplus,1201135009293944,1.00,Banner - 1h 
Donsplus,1201223231539251,3.00,CTA Nudges - 3h
Donsplus,1201347072203325,0.75,Presentation video background - 0.75h
Donsplus,1201408633079967,2.50,Donsplus newsletter banner - 2.5h
Donsplus,1201503395214163,5.75,Company Matching - 5.75h
Donsplus,1201514924838773,15.25,One Pager - 15.25h
Donsplus,1201607544728903,49.75,Donsplus Widget P2P&Volunteer - 49.75h
Donsplus,1201743553025193,3.00,To Do list - 3h 
Donsplus,1201826266407848,44.00,Setting re-define -  44
Donsplus,1201855271800819,49.25,website 3.0 desktop design - 49.25h
Donsplus,1201891939702564,15.50,Premium feature - 15.5h
Donsplus,1201898804101449,2.00,Card for swag box - 2h
Donsplus,1201962168844851,19.00,website 3.0 mobile - 19h
Donsplus,1201962168844853,16.00,preparing for dev - 16h
Donsplus,1201962168844855,24.25,QA - 24.25h
Donsplus,1201962168844857,8.00,website 3.0 wireframes - 8h
Donsplus,1201999894180367,1.00,Nudges update - 1h
Donsplus,1202171722703390,10.00,Partners deck - 10h
Donsplus,1202279217890981,8.25,Changes for dev - 8.25h
Donsplus,1202279217890983,11.50,New pricing page - 11.5h
Donsplus,1202337081462058,4.00,Customers deck - 4h
Donsplus,1202892542846252,3.25,Visual for a LinkedIn post - 3.25h
Donsplus,1203088381741146,6.00,Blog enhancement - 6h 
Studio,733471339628743,9.50,summer post-9.5h
Arison,1201434832052471,1.25,404 page  - 1.25h
Arison,1201447181909807,4.75,Milestones images editing (5h)- 4.75h
Arison,1201575696792925,2.00,Team images (2h) -  2h
Arison,1201605544783992,2.50,Presentation meeting - 2.5h
Arison,1203190832852028,1.00,Team section photo editing (1h) - 1h
Arison,1203372839528808,0.50,Daniel Arison photo editing - 0.5h
Arison,1199905657103272,216.75,Rest of the pages design// 7 pages (96>210h) -216.75h
Arison,1200699963256881,12.75,"Style guide, behavior file & references (10h) -  12.75h"
Arison,1199905657103290,47.25,Dev Studio guidance & QA (23>32h) - 47.25h
Arison,1201591721793739,13.50,Team section + images changes (6h) - 13.5h
Arison,1201871673259915,11.25,Accessibility (9h) - 11.25h
Arison,1202209567560686,2.25,ESG image editing (2h) - 2.25h
Nextage,1200141132470979,24.25,Logo design (20h) - 24.25h
Nextage,1200141132470985,40.25,Home page design + visual language develop (50h) - 40.25h
Nextage,1200141132470987,65.25,Mobile adjustments (65h) - 65.25h
Nextage,1200141132470995,1.25,404 + Legal pages (4h) - 1.25h
Nextage,1200141132470997,25.50,About page (20h) - 25.5h
Nextage,1200141132471001,30.00,Services lobby page + Service template page (26h) - 30h
Nextage,1200141132471005,8.50,Portfolio page (10h) -8.5h
Nextage,1200141132471007,6.00,Case Study page (6h) - 6h
Nextage,1200141132471011,8.50,News lobby page (12h) - 8.5h
Nextage,1200258334799130,10.50,Website inspirations (8h) - 10.5h
Nextage,1200258334799134,11.50,Visual concepts - References (13h) - 11.5h
Nextage,1200258334799136,13.00,Visual concepts - sketches (13h) - 13h
Nextage,1200258334799132,51.25,UX & Wireframes (36h) - 51.25h
Nextage,1200141132470991,15.00,Global Animation (14h) - 15h
Nextage,1200141132470993,23.75,Styleguide (8h) - 23.75h
Nextage,1200755888368534,8.25,Team Page (10h) - 8.25 h
Nextage,1200755888368536,12.25,Nextage global page (12h) - 12.25h
Nextage,1200755888368538,10.50,Cerca pertners page (6h) - 10.5h
Nextage,1200755888368540,16.00,Careers page (24h) - 16h
Nextage,1200755888368542,6.00,Inner career page (6h) - 6h
Nextage,1200755888368544,9.25,Post page (5h) -9.25h
Nextage,1200755888368546,11.50,Contact us page (6h) - 11.5h
Nextage,1200756087865333,5.25,Inner team popup (5h) - 5.25h
Nextage,1200765644440459,6.25,6 global icons (10h) - 6.25h
Nextage,1200765644440461,5.00,6 Services icons (8h-10h) - 5h
Nextage,1201502882163993,5.00,Brief for website photos (4-5h) - 5h
Nextage,1201536163839290,9.75,Email signature + animation (4-6h + 2h) - 9.75h
Nextage,1201536163839300,6.25,Client Onboarding (6h) - 6.25h
Nextage,1201704187342569,1.50,Logo CMYK - (1h) - 1.5h
Nextage,1201860555000087,32.00,QA - 32h
Nextage,1202241964492894,0.50,Mail signature - 0.5h
Nextage,1202211830824791,19.00,Website images - 19h
Nextage,1201536163839298,6.00,Nextage US entity ppt- 2 slides (6h) - 6h
Nextage,1201668988101946,18.00,Knowledge center (18h) - 18h
Nextage,1201855271800796,1.00,Linkedin cover (1h) - 1h
Nextage,1202519336499386,8.50,CFO images (12h) - 8.5h
Nextage,1202579731553044,13.75,QA July 2022 - 13.75h
Nextage,1202666304845567,2.00,Editing additional CFO image for website - 2h
Nextage,1202732301574852,1.00,Logo editing for homepage -1h
Nextage,1202904557885897,1.50,Section VP FINANCE (2-3h) - 1.5h
Nextage,1202985092216865,0.50,Home Page hero section photo adjustment - 0.5h
Nextage,1202579731553040,2.00,Testimonials gallery - 2h
Navina,1202925050009487,35.75,Product video - 35.75h
Navina,1203171768252379,20.00,Clinical Demo Video - 20h
Stigg,1201972205594216,15.50,Before & After Developer Animation - 15.5h
Stigg,1202030259254252,2.00,UXUi consult - 2h
Astrix,1201742107453523,7.00,QA - 7h
Astrix,1201774832081601,20.00,One pager - 20h
Astrix,1201825326958256,9.00,PPT - 9h
Astrix,1201905078458271,8.75,Full brandbook - 8.75h
Astrix,1202279609148675,2.00,Email signature  - 2h
Astrix,1202323871323507,3.50,Exporting animation -3.5h
Nominal,1201865618482376,2.00,Kickoff meeting (2h) - 2h
Nominal,1201865618482378,16.25,Brand concepts (16h) - 16.25h
Nominal,1201871712196782,17.75,Visual concepts (18h) - 17.75h
Nominal,1201871712196786,58.25,Logo sketches & design (44h) - 58.25h
Nominal,1201871712196795,75.25,Presentation - 75.25h
Nominal,1201871712196797,149.25,Product - 149.25h
Nominal,1201891939702560,4.75,Names - 4.75h
Nominal,1205828837028969,28.00,Homepage (20.66h) - 28h
Nominal,1206458433921342,2.00,Blog additions (2h)- 2h
Nominal,1206632725433985,13.00,Home page what we do section (13h) - 13h
Nominal,1206784680844181,5.00,Solutions Page (5h) - 5h
Collabria,1202511630462801,46.50,Temporary task - 46.5h
Collabria,1202925050009494,18.00,Blog post illustration - 18h
Barbahar,235594610389218,3.00,menu 2017- 3h
Barbahar,303306896132115,3.50,תפריט פסח- 3.5
Barbahar,360062618641557,6.50,wanted - 6.5 hrs
Barbahar,415770617540612,12.00,menu - 12h
Barbahar,454138393605085,0.50,poster- pizza- 0.5
Barbahar,486945454096149,0.50,delivery- 0.5h
Barbahar,597849554933670,7.50,English Menu - 7.5hr
Barbahar,606879612327229,3.50,Pesach Menu - 3.5h
